"микрофрейм","минимальный контекст на языке"
"острый нож","Messer"
"острый меч","Schwert "
"острый коготь","Kralle "
"острая сабля","Säbel"
"острое лезвие","Klinge"
"острая коса","Sense"
"острые ножницы","Schere"
"острая пила","Säge"
"острая иголка","Nadel"
"острая стрела","Pfeil "
"острый кол","Pfahl "
"острая спица","Stricknade"
"острая палка","Stock"
"острое копье","Spieß"
"острый зуб","Zahn"
"острый ноготь","Nagel"
"острый рог","Horn"
"острый нос","Nase"
"острый угол","Ecke"
"острый носок ботинка","Schuhspitze "
"острая гора","Berg"
"острый локоть","Ellbogen"
"острый клюв","Schnabel"
"острый колпак","Kappe"
"острый подбородок","Kinn"
"острый каблук","Absatz"
"острая мачта","Mast"
"острая крыша","Dach"
"острый шип","Dorn"
"колючее одеяло","Decke"
"колючая щетина","Bartstoppeln"
"колючая шерсть","Wolle"
"колючий куст","Strauch"
"колючий свитер","Pullover"
"крутой поворот","Kurve "
"крутой изгиб","Krümmung"
"крутая излучина реки","Biege"
"крутой подъем","Aufstieg"
"крутой склон","Hang"
"крутой берег","Ufer"
"крутая гора","Berg"
"четкая линия","Linie"
"четкая фотография","Foto"
"резкий контраст","Kontrast"
"четкая картинка","Bild"
"сильные очки","Brille"
"проницательный человек","Mensch"
"острый ум","Verstand"
"острый, проницательный взгляд","Blick"
"проницательный наблюдатель","Beobachter "
"умная девочка","Mädchen"
"умная голова","Kopf"
"острый журналист","Journalist"
"острое слово","Wort"
"острый язык","Zunge"
"острое высказывание","Äußerung"
"острый критик","Kritiker"
"острое замечание","Bemerkung"
"острая критика","Kritik"
"острая статья","Artikel"
"острый анекдот","Witz"
"резкий человек","Mensch"
"резкий взгляд","Blick"
"резкое слово","Wort"
"резкая реакция","Reaktion"
"резкая брань","Geschimpfe"
"грубый ответ","Antwort"
"грубая бесцеремонность","Rücksichtslosigkeit"
"грубый циннизм","Zynismus"
"строгий закон","Gesetz"
"строгий правитель","Herrscher"
"строгий распорядок","Ordnung"
"строгое наказание","Strafe"
"строгая диета","Diät"
"непоседливый ребенок","Kind"
"узкоспециализированное исследование","Untersuchung"
"узкоспециализированная работа","Arbeit "
"острый соус","Soße "
"острый вкус","Geschmac"
"острый перец","Pfeffer"
"острое лечо","Letscho"
"газированный напиток","Getränk"
"газированная вода","Wasser"
"резкий звук","Laut"
"острый визг","Kreischen "
"резкий голос","Stimme"
"резкий лай","Bellen "
"резкий храп","Schnarchen"
"резкий вкус","Geschmack"
"резкий свет","Licht"
"резкая вспышка","Aufflammen"
"острый блеск","Glanz"
"резкая вонь","Gestank "
"резкий запах","Geruch"
"высокий звук","Laut"
"высокая нота","Note"
"цвет","Farbe"
"синева","Blau"
"оттенок","Schattierung"
"сильный запах","Geruch"
"сильный аромат","Duft"
"яркий свет","Licht"
"яркое солнце","Sonne"
"острый слух","Hören "
"острое зрение","Sehen"
"хорошие глаза","Augen "
"хорошие уши","Ohren"
"острый нюх","Gespür"
"острый нос","Nase"
"острое ощущение","Wahrnehmung"
"острое осознание","Bewusstsein"
"острое желание","Wunsch"
"острая ревность","Eifersucht"
"острая зависть","Neid"
"острая обида","Kränkung"
"острое стремление","Streben"
"острый мороз","Frost"
"резкий ветер","Wind"
"сильный холод","Kälte"
"сильная жара","Hitze"
"острая проблема","Problem"
"острая нехватка","Mangel"
"острый вопрос","Frage"
"острая боль","Schmerz"
"острая жажда","Durst"
"острая дрожь","Zittern"
"острая слабость","Schwäche"
"острое воспаление","Entzündung"
"острый грипп","Grippe"
"острое заболевание","Erkrankung"
"острое расстройство","Verwirrung"
"острый аппендицит","Blinddarmentzündung"
"острый конфликт","Konflikt"
"острый момент","Moment"
"острое сопротивление","Widerstand"
"острый спор","Streit"
"острая перепалка","Gezänk"
"острое любопытство","Neugier "
"острая наблюдательность","Beobachtungsgabe"
"острая впечатлительность","Empfänglichkeit"
"острая гордость","Stolz"
"резкий подъем","Aufstieg"
"резкий спад","Rückgang"
"резкий взмах","Schwingen"
"резкий вздох","Seufzer"
"резкое движение","Bewegung"
"резкий бросок","Wurf"
"резкий скачок","Sprung"
"быстрый темп","Tempo"
"быстрый бег","Lauf"
"острый нож","Messer"
"острый меч","Schwert "
"острая сабля","Säbel"
"острое лезвие","Klinge"
"острая коса","Sense"
"острые ножницы","Schere"
"острая пила","Säge"
"острая иголка","Nadel"
"острая стрела","Pfeil "
"острый коготь","Kralle "
"острый кол","Pfahl "
"острая спица","Stricknade"
"острая палка","Stock"
"острое копье","Spieß"
"острый зуб","Zahn"
"острый ноготь","Nagel"
"острый рог","Horn"
"острый нос","Nase"
"острый угол","Ecke"
"острый носок ботинка","Schuhspitze "
"острая гора","Berg"
"острый локоть","Ellbogen"
"острый клюв","Schnabel"
"острый колпак","Kappe"
"острый подбородок","Kinn"
"острый каблук","Absatz"
"острая мачта","Mast"
"острая крыша","Dach"
"острый шип","Dorn"
"колючее одеяло","Decke"
"колючая щетина","Bartstoppeln"
"колючая шерсть","Wolle"
"колючий куст","Strauch"
"колючий свитер","Pullover"
"крутой поворот","Kurve "
"крутой изгиб","Krümmung"
"крутая излучина реки","Biege"
"крутой подъем","Aufstieg"
"крутой склон","Hang"
"крутой берег","Ufer"
"крутая гора","Berg"
"четкая линия","Linie"
"четкая фотография","Foto"
"резкий контраст","Kontrast"
"четкая картинка","Bild"
"сильные очки","Brille"
"проницательный человек","Mensch"
"острый ум","Verstand"
"острый, проницательный взгляд","Blick"
"проницательный наблюдатель","Beobachter "
"умная девочка","Mädchen"
"умная голова","Kopf"
"острый журналист","Journalist"
"острое слово","Wort"
"острый язык","Zunge"
"острое высказывание","Äußerung"
"острый критик","Kritiker"
"острое замечание","Bemerkung"
"острая критика","Kritik"
"острая статья","Artikel"
"острый анекдот","Witz"
"резкий человек","Mensch"
"резкий взгляд","Blick"
"резкое слово","Wort"
"резкая реакция","Reaktion"
"резкая брань","Geschimpfe"
"грубый ответ","Antwort"
"грубая бесцеремонность","Rücksichtslosigkeit"
"грубый циннизм","Zynismus"
"строгий закон","Gesetz"
"строгий правитель","Herrscher"
"строгий распорядок","Ordnung"
"строгое наказание","Strafe"
"строгая диета","Diät"
"непоседливый ребенок","Kind"
"узкоспециализированное исследование","Untersuchung"
"узкоспециализированная работа","Arbeit "
"острый соус","Soße "
"острый вкус","Geschmac"
"острый перец","Pfeffer"
"острое лечо","Letscho"
"газированный напиток","Getränk"
"газированная вода","Wasser"
"резкий звук","Laut"
"острый визг","Kreischen "
"резкий голос","Stimme"
"резкий лай","Bellen "
"резкий храп","Schnarchen"
"резкий вкус","Geschmac"
"резкий свет","Licht"
"резкая вспышка","Aufflammen"
"острый блеск","Glanz"
"резкая вонь","Gestank "
"резкий запах","Geruch"
"высокий звук","Laut"
"высокая нота","Note"
"pholder цвет","Farbe"
"pholder синева","Blau"
"pholder оттенок","Schattierung"
"сильный запах","Geruch"
"сильный аромат","Duft"
"яркий свет","Licht"
"яркое солнце","Sonne"
"острый слух","Hören "
"острое зрение","Sehen"
"хорошие глаза","Augen "
"хорошие уши","Ohren"
"острый нюх","Gespür"
"острый нос","Nase"
"острое ощущение","Wahrnehmung"
"острое осознание","Bewusstsein"
"острое желание","Wunsch"
"острая ревность","Eifersucht"
"острая зависть","Neid"
"острая обида","Kränkung"
"острое стремление","Streben"
"острый мороз","Frost"
"резкий ветер","Wind"
"сильный холод","Kälte"
"сильная жара","Hitze"
"острая проблема","Problem"
"острая нехватка","Mangel"
"острый вопрос","Frage"
"острая боль","Schmerz"
"острая жажда","Durst"
"острая дрожь","Zittern"
"острая слабость","Schwäche"
"острое воспаление","Entzündung"
"острый грипп","Grippe"
"острое заболевание","Erkrankung"
"острое расстройство","Verwirrung"
"острый аппендицит","Blinddarmentzündung"
"острый конфликт","Konflikt"
"острый момент","Moment"
"острое сопротивление","Widerstand"
"острый спор","Streit"
